query,title,title_length,hashtag_count,tag_count,views,likes,comments,publishedAt
gaming shorts,Why you should never play video games in class #shorts,54,1,7,857061306,23848843,42479,2021-09-22T18:14:59Z
gaming shorts,"The Rock Vs MrBeast For $100,000",32,0,0,723124415,36294134,80839,2022-10-21T20:00:06Z
gaming shorts,Minecraft RTX: What if ~44 SURPRISE #Shorts,43,1,47,259403924,3420807,5709,2023-07-26T19:07:49Z
gaming shorts,How Different Game Characters Climb Up ⬆️,41,0,48,216168740,4208873,3874,2024-02-22T12:01:01Z
gaming shorts,The Game of Life🎮,17,0,0,217640280,6134041,11578,2024-10-28T13:00:23Z
gaming shorts,Cute Baby Factory #shorts #games,32,2,0,198608779,2183447,1546,2022-06-06T18:38:00Z
gaming shorts,THE REAL TREASURE #explore #shorts #childhood #nostalgia #cricket #treasure #sports #games #friends,99,9,0,288273430,2727364,4069,2024-12-28T06:00:12Z
gaming shorts,Every Gamer At Night,20,0,10,182886439,8833420,19498,2022-03-29T03:30:10Z
gaming shorts,Best Funny Game Ever Played #shorts #gameplay #games,52,3,14,161047347,0,1043,2023-03-15T13:37:00Z
gaming shorts,"Best game play at home, Funny family play games #shorts",55,1,3,179545038,1625102,1064,2022-12-14T11:52:39Z
gaming shorts,Squid game dalgona 😳 #shorts #babyduck #squidgame,49,3,0,322049145,1686593,2928,2025-04-23T10:00:11Z
gaming shorts,WHEN GAMER'S INTERNET STOPS WORKING,35,0,12,139736702,7221808,14579,2022-08-24T03:30:08Z
gaming shorts,Minecraft RTX: What if ~85 NOPE NOPE NOPE #Shorts,49,1,48,163441861,1691133,3572,2024-08-24T12:01:09Z
gaming shorts,First Day Pyar 🫶 & Next Day War 🤓 #shorts #freefire #tondegamer,63,3,25,138145626,7082958,17676,2023-05-22T08:30:04Z
gaming shorts,Kya toh Kalakari हे 😱🔥 My Reactions Free Fire Insane Ice Logo #shorts #tondegamer,81,2,23,128675847,4161826,5099,2023-03-30T06:30:24Z
gaming shorts,Only if you are nice #gamingshorts #gamingsetup #gamingroom #gamer #theultimatenerd #toycollector,97,6,0,121306770,3823905,53468,2022-12-28T00:17:47Z
gaming shorts,Buses & Fuel Trucks vs Log Trap - BeamNG.Drive #beamngdrive #beamdrive #bus #truck #shorts,90,5,33,116085493,1383969,582,2024-09-07T04:00:19Z
gaming shorts,Unbelievable 🤯 Lamborghini Aventador Killing it #shorts,55,1,69,117934920,3105419,9986,2024-01-06T12:00:35Z
gaming shorts,A CAPRICORN?! #Shorts,21,1,0,123105990,3623826,29763,2021-06-11T18:00:07Z
gaming shorts,I got revenge 😈 #shorts,23,1,7,98688981,1917102,17733,2022-08-14T03:00:30Z
gaming shorts,0.07 seconds from losing my hardcore world,42,0,6,78003586,3478489,15412,2021-08-31T14:39:17Z
gaming shorts,Dadi In Game Zone 😂 #shorts,27,1,0,141143141,763997,302,2025-02-05T06:30:05Z
